QUERY_TEXT,POSITIVE,NEGATIVE
desserts, shakes,veggie burger with cheeese
sushi, thai chef fresh rolls, meat lasagna
acai bowl, acai bowl delivered, mint chocolate chip polar pizza
cupcake, carrot, buffalo chicken
consultative approach, apple pie, broccoli
goat cheese, goat cheese salad, lamb biryani
creole, etouffee, meatloaf
porchetta, pork rinds, avocado toast
pad thai, chicken satay, pasta salad
whisky, crocodile, milkshake
biscuits, chocolate chip, key lime pie
coq au vin, chicken cordon bleu, spinach
sushi, sea bass, salmon pie
lentil soup, chicken noodle soup, burger
bubble tea, Oolong tea, Irish cream
cornbread, johnny cake, chocolate yogurt
strata, zucchini, banana bread
cauliflower rice, white rice, potato wedges
sushi roll, chicken wing, beef wellington
pasta e ceci, pasta carbonara, mashed potatoes
falafel, hummus, charcuterie board
gyro, lamb chop, jerk chicken
wonton soup, chicken tortilla soup, gazpacho
brunch, breakfast casserole, oatmeal
chorizo, sausage and peppers, brisket
pav bhaji, saag paneer, tuna casserole
zucchini noodle, cauliflower mash, collard
alcohol,beer tasting,hard liquor
backed goods,tapestries,bed pillows
bowl,walnut bowl,mixing bowl
bread,italian bread,baguette
breakfast,continental breakfast,parfait
burger,chicken burger,veggie burger
burrito,chicken burrito,beef burrito
cake,black forest cake,red velvet cake
chicken,fried chicken,roasted chicken
coffee,latte art,cold brew
cookie,oatmeal raisin,chocolate chip
curry,chicken curry,beef rendang
dessert,gelato flavors,sponge cake
donut,chocolate donut,custard donut
dumpling,pork dumplings,vegetarian dumpling
eggs,egg white omelet,scrambled eggs
fried food,french fries,fried rice
fries,garlic fries,cheese fries
hot dog,chili dog,veggie dog
huevos con jamon,broken yolk,overeasy egg
ice cream,vanilla ice cream,chocolate ice cream
juice,fruit juice,vegetable juice
noodle,soba noodles,pasta noodles
pancake,buttermilk pancake,german pancake
pasta,spaghetti pasta,macaroni pasta
pie,apple pie,pecan pie
pizza,cheese pizza,deep-dish pizza
plate,appetizer plate,dinner plate
poke,salmon poke,beef poke
rice,white rice,fried rice
salad,caesar salad,garden salad
sandwich,grilled cheese sandwich,BLT
sauce,pizza sauce,Alfredo sauce
seafood,lobster roll,fish tacos
skewer,chicken skewer,vegetable skewer
smoothie,banana smoothie,berry smoothie
soda,coca-cola,root beer
soup,chicken noodle soup,tomato soup
steak,ribeye steak,porterhouse steak
stir fry,chicken stir fry,vegetable stir fry
sushi,salmon sushi,spicy sushi roll
taco,chicken taco,hard-shell taco
tea,iced tea,sweet tea
water,still water,sparkling water
wings,buffalo wings,BBQ wings
wrap,tortilla wrap,spinach wrap
alcohol, moonshine made from sweet potatoes, sour pork chops
backed goods, lays classic potato chips, acrylic yarn lace knitting pattern
bowl, noodle bowl, chocolate pudding cup
bread, garlic bread, chocobo cake
breakfast, breakfast casserole, succahdick
burger, cheeseburger, beef patty tenderized via the shwarma method
burrito, pork burrito, potato taco
cake, black forest cake, gingerbread man latte cake
chicken, fried chicken, chicken pot pie
coffee, cappuccino, espresso martini
cookie, macaron, oreo cookie
curry, chicken curry, coconut curry noodle soup
dessert, strawberry jelly, ice cream soda
donut, apple cinnamon donut, chocolate dipped sprinkle donut
dumpling, potsticker, shrimp dumpling
eggs, easter bread, stringy eggs mashed with vegetables
fried food, french fries, fried branzino
fries, curly fries, crispy fried brussel sprouts
hot dog, chili dog, a corndog
huevos con jamon, scrambled eggs with ham and green onions, egg sandwich
ice cream, chocolate ice cream, vanilla ice cream pie
juice, bloody mary, fruit juice
mixed vegetables, vegetable soup, ratatouille
noodle, chicken lo mein, peanut butter noodles
pancake, potato pancake, blueberry pancake
pasta, tortellini, ravioli
pie, chicken pot pie, apple pie
pizza, meat lover's pizza, pepperoni pizza
plate, decorative plate, plastic plate
poke, tofu poke, octopus poke
rice, rice pudding, garlic rice
salad, egg salad, beet salad
sandwich, grilled cheese sandwich, roast beef sandwich
sauce, barbecue sauce, teriyaki sauce
seafood, squid, crab cake
skewer, vegetable skewer, lamb skewer
smoothie, banana smoothie, broccoli smoothie
soda, coke, ginger ale
soup, chicken noodle soup, tomato bisque
steak, rib eye steak, london broil
stir fry, beef and broccoli stir fry, cashew stir fry
sushi, california roll, spicy tuna roll
taco, soft taco, crispy taco
tea, iced tea, sweet tea
water, still water, sparkling water
wings, barbeque wings, fried wings
wrap, turkey wrap, tortilla wrap
alcohol, beer, bible verses
backed goods, chip, usb chord
bowl, rice bowl, mixing bowl
bread, garlic bread, zopf loaf
breakfast, cereal, cold coffee
burger, turkey burger, veggie burger
burrito, fish burrito, steak burrito
cake, red velvet cake, chocolate cake
chicken, fried chicken, chicken sandwich
coffee, latte, cold coffee
cookie, oatmeal raisin, chip cookie
curry, curry rice, japanese curry
dessert, cheese cake, black forest cake
donut, donut holes, jelly filled donut
dumpling, pork dumplings, mandu
eggs, egg white, egg yolk
fried food, french fries, fried ice cream
fries, curly fries, potato wedges
hot dog, beef hot dog, vegetarian hot dog
huevos con jamon, ham and eggs, jamon y churros
ice cream, vanilla ice cream, chocolate ice cream
juice, apple juice, grape juice
noodle, soba noodles, spaghetti
pancake, potato pancakes, blueberry pancake
pasta, linguine, penne pasta
pie, apple pie, chicken pot pie
pizza, pepperoni pizza, hawaiian pizza
plate, salad plate, appetizer plate
poke, poke bowl, sushi bowl
rice, sushi rice, rice pudding
salad, caesar salad, garden salad
sandwich, grilled cheese sandwich, BLT sandwich
sauce, pesto sauce, marinara sauce
seafood, sushi, lobster
skewer, vegetable skewer, fruit skewer
smoothie, banana smoothie, strawberry smoothie
soda, coca-cola, diet coke
soup, tomato soup, miso soup
steak, ribeye steak, t-bone steak
